Track name,Artist name,Album,Playlist name,Type,ISRC,Tidal - id
"Colquechacamanta","Zulma Yugar","Tierra Sin Mar","Favorites tracks","Favorite","GBBFT9600095","68290498"
"No Le Digan","Federico Y Su Combo","Federico y Su Combo","Favorites tracks","Favorite","CH6541893239","100811929"
"مبسوطة","Simone","الو","Favorites tracks","Favorite","FR96X2300259","287589513"
"Junun Brass","The Rajasthan Express","Junun","Favorites tracks","Favorite","USNO11500462","493207771"
"Mantra","Rubel","Casas","Favorites tracks","Favorite","BX18D1800007","417742932"
"Chambacú","Totó La Momposina","Pacantó","Favorites tracks","Favorite","ES71G1412694","197589563"
"Zapata Se Queda (with Celso Piña & Totó la Momposina)","Lila Downs","Pecados Y Milagros","Favorites tracks","Favorite","MXF011100408","8029122"
"Predestinación","Aries Vigoth","Éxitos","Favorites tracks","Favorite","TCAFG2062975","164879424"
"Sierra Madre (Remix)","Bial Hclap","Sierra Madre (Remix)","Favorites tracks","Favorite","GBLFP2068616","141540275"
"Paciencia","Zuaraz","Bugambilia","Favorites tracks","Favorite","ES71G2057652","420902490"
"Chéni (Miedo)","La Bruja de Texcoco","Chéni (Miedo)","Favorites tracks","Favorite","USHM22034738","242864548"
"Pepe","Ska Cubano","Mambo Ska","Favorites tracks","Favorite","GBKFY1000015","222586682"
"Noches de Bocagrande","Trío Martino","Colombia Es Amor, Vol. 5","Favorites tracks","Favorite","USR011012843","31783846"
"Black Leaves","KIRBY","Black Leaves","Favorites tracks","Favorite","TCAFZ2111958","318340733"
"Stuck In The Middle","Greentea Peng","Stuck In The Middle","Favorites tracks","Favorite","GBUM72203283","232039185"
"On & On","Erykah Badu","Baduizm","Favorites tracks","Favorite","USUR19700556","633713"
"Inside Out","FloFilz","Transit","Favorites tracks","Favorite","DEGC61902145","199850598"
"Mountains","Gotts Street Park","On The Inside","Favorites tracks","Favorite","GBPVV2300072","320519024"
"Red Room","Hiatus Kaiyote","Red Room","Favorites tracks","Favorite","GBCFB2100031","181514185"
"Brewster","Cruza","Dog Daze","Favorites tracks","Favorite","GBKPL2171392","244047213"
"Solitude","Lila Iké","The ExPerience","Favorites tracks","Favorite","USRC12001235","142003666"
"Vuelve","Bomba Estéreo","Ayo","Favorites tracks","Favorite","USSD11700377","76932275"
"Dondo","Aurelio Martinez","Darandi","Favorites tracks","Favorite","BZA001700005","69395834"
"Solo Quiero (feat. Pedrina)","Montoya","Otun","Favorites tracks","Favorite","GBGLW1800356","184599191"
"Solitario","Mitú","Balnear","Favorites tracks","Favorite","COGY11400101","28638115"
"Habibi","TÜFACHI BEAT","Habibi","Favorites tracks","Favorite","QZFZ42244163","214316459"
"Fantasmagoría","Sonido Gallo Negro","Paganismo","Favorites tracks","Favorite","MX3742000581","271695758"
"Colapso","Kevin Kaarl","Hasta el Fin Del Mundo","Favorites tracks","Favorite","QZDA71980570","483139425"
"Ohh La La","Roy & Yvonne","Moving On","Favorites tracks","Favorite","USCGH1444296","420106826"
"¿Qué Tiene?","Ximena Sariñana","¿Qué Tiene?","Favorites tracks","Favorite","MXF151800238","92507596"
"México","Mexican Institute Of Sound","Político","Favorites tracks","Favorite","MX3741200005","139193413"
"Todo Bien","Los Espiritus","Sancocho Stereo","Favorites tracks","Favorite","AR2MG2000133","270713707"
"Yüce Dag Basinda","Altin Gün","Yol","Favorites tracks","Favorite","DETP62000145","165491323"
"Göç / Me","Kit Sebastian","New Internationale","Favorites tracks","Favorite","GBCFB2400780","378308439"
"Maria También","Khruangbin","Con Todo El Mundo","Favorites tracks","Favorite","GB5EM1701747","82882614"
"Goca Dünya","Altin Gün","On","Favorites tracks","Favorite","CHA831792503","85509037"
"Tongo Barra","Vieux Farka Touré","Ali","Favorites tracks","Favorite","USJ5G2127404","236020237"
"Tongo Barra","Vieux Farka Touré","Ali","Favorites tracks","Favorite","USJ5G2127404","236020237"
"Turkish Coffee","BALTHVS","Cause & Effect","Favorites tracks","Favorite","SE6XY2170403","212160321"
"La Rueda Que Mueve Al Mundo","Los Espíritus","Agua Ardiente","Favorites tracks","Favorite","US3DF1947565","108799903"
"Cumbia de Oli (Punk Remix by Sgt. Papers)","Los Esplifs","Cumbia de Oli (Punk Remix by Sgt. Papers)","Favorites tracks","Favorite","QZMEQ2176073","197650120"
"Paleta","Orkesta Mendoza","Curandero","Favorites tracks","Favorite","DETP61900131","458343112"
"Churro Vs. Crow","Terror/Cactus","Churro Vs. Crow","Favorites tracks","Favorite","USHDH2000019","158097163"
"Vaivén","Cumbiasound","Cosas Del Universo","Favorites tracks","Favorite","FR26V2079054","162686986"
"La Era del GigaHertz","Frente Cumbiero","Cera Perdida","Favorites tracks","Favorite","US3DF2093416","159022419"
"Mirando El Fuego","El Búho","Camino de Flores","Favorites tracks","Favorite","TCADZ1876035","231239036"
"Ethanopium","Dengue Fever","Dengue Fever (Deluxe Edition)","Favorites tracks","Favorite","USME31201854","68395589"
"Ethiopian Dust","Superfónicos","Suelta - EP","Favorites tracks","Favorite","USUYG1220705","96172887"
"Eléctrico","Sotomayor","Conquistador","Favorites tracks","Favorite","US7VG1776906","101165441"
"Alberca (feat. Nidia Gongora)","Don Couto","Templo del Perro","Favorites tracks","Favorite","QZTBD2424523","385380798"
"Break Away","Thornato","Escape Plan","Favorites tracks","Favorite","USCCW1611076","248911903"
"Viaje a Mictlán","Panamá Cha-Cha","Viaje a Mictlán","Favorites tracks","Favorite","FR10S2511402","410105605"
"La Danza Del Petrolero","Los Wembler's de Iquitos","La Danza del Petrolero","Favorites tracks","Favorite","USDY50804041","11433762"
